fe_num,extinction_extirpation_events,SP lost (extinct),SP lost (extirpated),Total SP,% FE extinct,%FE extirpated,global extinction
fe_17,1,0,1,6,0,0.166666667,NO
fe_24,1,0,1,5,0,0.2,NO
fe_34,4,0,1,3,0,0.333333333,NO
fe_39,1,0,1,2,0,0.5,NO
fe_52,3,0,1,2,0,0.5,NO
fe_54,1,0,1,2,0,0.5,NO
fe_1,1,1,0,34,0.029411765,0,NO
fe_4,1,1,0,18,0.055555556,0,NO
fe_6,1,1,0,16,0.0625,0,NO
fe_14,1,1,0,7,0.142857143,0,NO
fe_16,1,1,0,6,0.166666667,0,NO
fe_2,9,5,1,27,0.185185185,0.037037037,NO
fe_22,1,1,0,5,0.2,0,NO
fe_23,1,1,0,5,0.2,0,NO
fe_28,1,1,0,4,0.25,0,NO
fe_18,2,2,0,6,0.333333333,0,NO
fe_33,1,1,0,3,0.333333333,0,NO
fe_13,3,3,0,7,0.428571429,0,NO
fe_5,11,7,0,17,0.411764706,0,NO
fe_48,1,1,0,2,0.5,0,NO
fe_20,4,4,0,6,0.666666667,0,NO
fe_99,1,1,0,1,1,0,YES
fe_100,1,1,0,1,1,0,YES
fe_104,1,1,0,1,1,0,YES
fe_106,1,1,0,1,1,0,YES
fe_107,1,1,0,1,1,0,YES
fe_113,1,1,0,1,1,0,YES
fe_21,6,6,0,6,1,0,YES
fe_38,3,3,0,3,1,0,YES
fe_81,1,1,0,1,1,0,YES
fe_83,1,1,0,1,1,0,YES
fe_85,1,1,0,1,1,0,YES