,genus,species
1,Alsophis,Alsophis sp.
2,Amphisbaena,Amphisbaena caudalis
3,Anolis,Anolis agueroi
4,Anolis,Anolis altitudinalis
5,Anolis,Anolis anfiloquioi
6,Anolis,Anolis birama
7,Anolis,Anolis delafuentei
8,Anolis,Anolis desiradei
9,Anolis,Anolis fugitivus
10,Anolis,Anolis incredulus
11,Anolis,Anolis juangundlachi
12,Anolis,Anolis litoralis
13,Anolis,Anolis pigmaequestris
14,Anolis,Anolis roosevelti
15,Anolis,Anolis rubribarbus
16,Anolis,Anolis ruibali
17,Anolis,Anolis sierramaestrae
18,Anolis,Anolis spectrum
19,Anolis,Anolis terueli
20,Anolis,Anolis toldo
21,Anolis,Anolis vescus
22,Anolis,Anolis wattsii
23,Aristelliger,Aristelliger cochranae
24,Aristelliger,Aristelliger expectatus
25,Aristelliger,Aristelliger reyesi
26,Aristelliger,Aristelliger titan
27,Arrhyton,Arrhyton ainictum
28,Arrhyton,Arrhyton redimitum
29,Boa,Boa blanchardensis
30,Boa,Boa sp.1
31,Boa,Boa sp.2
32,Alsophis,Borikenophis portoricensis
33,Mabuya,Capitellum mariagalantae
34,Liophis,Caraiba andreae
35,Celestus,Celestus anelpistus
36,Celestus,Celestus badius
37,Celestus,Celestus barbouri
38,Celestus,Celestus carraui
39,Celestus,Celestus costatus
40,Celestus,Celestus crusculus
41,Celestus,Celestus curtissi
42,Celestus,Celestus darlingtoni
43,Celestus,Celestus duquesneyi
44,Celestus,Celestus fowleri
45,Celestus,Celestus hewardi
46,Celestus,Celestus macrotus
47,Celestus,Celestus marcanoi
48,Celestus,Celestus microblepharis
49,Celestus,Celestus molesworthi
50,Celestus,Celestus occiduus
51,Celestus,Celestus sepsoides
52,Celestus,Celestus stenurus
53,Celestus,Celestus warreni
54,Epicrates,Chilabothrops angulifer
55,Epicrates,Chilabothrops chrysogaster
56,Epicrates,Chilabothrops exsul
57,Epicrates,Chilabothrops fordii
58,Epicrates,Chilabothrops gracilis
59,Epicrates,Chilabothrops granti
60,Epicrates,Chilabothrops inornatus
61,Epicrates,Chilabothrops striatus
62,Liophis,Clelia cf. clelia
63,Alsophis,Cubophis cantherigerus
64,Alsophis,Cubophis sp.
65,Alsophis,Cubophis vudii
66,Cyclura,Cyclura onchiopsis
67,Cyclura,Cyclura stejnegeri
68,Diploglossus,Diploglossus delasagra
69,Diploglossus,Diploglossus garridoi
70,Diploglossus,Diploglossus nigropunctatus
71,Diploglossus,Diploglossus sp.
72,Liophis,Haitiophis anomalus
73,Hypsirhynchus,Hypsirhynchus ater
74,Hypsirhynchus,Hypsirhynchus callilaemus
75,Hypsirhynchus,Hypsirhynchus funererus
76,Hypsirhynchus,Hypsirhynchus melanichnus
77,Hypsirhynchus,Hypsirhynchus parvifrons
78,Hypsirhynchus,Hypsirhynchus polylepis
79,Hypsirhynchus,Hypsirhynchus scalaris
80,Ialtris,Ialtris agyrtes
81,Ialtris,Ialtris haetianus
82,Ialtris,Ialtris parishi
83,Leiocephalus,Leiocephalus anonymous
84,Leiocephalus,Leiocephalus apertosulcus
85,Leiocephalus,Leiocephalus cubensis
86,Leiocephalus,Leiocephalus cuneus
87,Leiocephalus,Leiocephalus endomychus
88,Leiocephalus,Leiocephalus eremitus
89,Leiocephalus,Leiocephalus etheridgei
90,Leiocephalus,Leiocephalus jamaicensis
91,Leiocephalus,Leiocephalus lunatus
92,Leiocephalus,Leiocephalus macropus
93,Leiocephalus,Leiocephalus melanochlorus
94,Leiocephalus,Leiocephalus onaneyi
95,Leiocephalus,Leiocephalus partidus
96,Leiocephalus,Leiocephalus pratensis
97,Leiocephalus,Leiocephalus rhutidira
98,Leiocephalus,Leiocephalus semilineatus
99,Leiocephalus,Leiocephalus sixtoi
100,Leiocephalus,Leiocephalus sp.
101,Leiocephalus,Leiocephalus stictigaster
102,Leiocephalus,Leiocephalus vinculum
103,Mabuya,Mabuya desiradae
104,Mabuya,Mabuya grandisterrae
105,Mabuya,Mabuya hispaniolae
106,Arrhyton,Magliophis exiguus
107,Arrhyton,Magliophis stahli
108,Mitophis,Mitophis calypso
109,Pholidoscelis,Pholidoscelis cineraceus
110,Pholidoscelis,Pholidoscelis corvinus
111,Pholidoscelis,Pholidoscelis sp.
112,Pholidoscelis,Pholidoscelis turukaeraensis
113,Pholidoscelis,Pholidoscelis wetmorei
114,Sphaerodactylus,Sphaerodactylus ariasae
115,Sphaerodactylus,Sphaerodactylus armasi
116,Sphaerodactylus,Sphaerodactylus asterulus
117,Sphaerodactylus,Sphaerodactylus becki
118,Sphaerodactylus,Sphaerodactylus bromeliarum
119,Sphaerodactylus,Sphaerodactylus caicosensis
120,Sphaerodactylus,Sphaerodactylus callocricus
121,Sphaerodactylus,Sphaerodactylus celicara
122,Sphaerodactylus,Sphaerodactylus clenchi
123,Sphaerodactylus,Sphaerodactylus cochranae
124,Sphaerodactylus,Sphaerodactylus dacnicolor
125,Sphaerodactylus,Sphaerodactylus difficilis
126,Sphaerodactylus,Sphaerodactylus dimorphicus
127,Sphaerodactylus,Sphaerodactylus docimus
128,Sphaerodactylus,Sphaerodactylus elasmorhynchus
129,Sphaerodactylus,Sphaerodactylus epiurus
130,Sphaerodactylus,Sphaerodactylus gilvitorques
131,Sphaerodactylus,Sphaerodactylus ladae
132,Sphaerodactylus,Sphaerodactylus lazelli
133,Sphaerodactylus,Sphaerodactylus monensis
134,Sphaerodactylus,Sphaerodactylus nycteropus
135,Sphaerodactylus,Sphaerodactylus omoglaux
136,Sphaerodactylus,Sphaerodactylus oxyrhinus
137,Sphaerodactylus,Sphaerodactylus parkeri
138,Sphaerodactylus,Sphaerodactylus perissodactylius
139,Sphaerodactylus,Sphaerodactylus pimienta
140,Sphaerodactylus,Sphaerodactylus plummeri
141,Sphaerodactylus,Sphaerodactylus randi
142,Sphaerodactylus,Sphaerodactylus rhabdotus
143,Sphaerodactylus,Sphaerodactylus richardsonii
144,Sphaerodactylus,Sphaerodactylus ruibali
145,Sphaerodactylus,Sphaerodactylus samanensis
146,Sphaerodactylus,Sphaerodactylus savagei
147,Sphaerodactylus,Sphaerodactylus scaber
148,Sphaerodactylus,Sphaerodactylus schuberti
149,Sphaerodactylus,Sphaerodactylus siboney
150,Sphaerodactylus,Sphaerodactylus sommeri
151,Sphaerodactylus,Sphaerodactylus storeyae
152,Sphaerodactylus,Sphaerodactylus streptophorus
153,Sphaerodactylus,Sphaerodactylus underwoodi
154,Sphaerodactylus,Sphaerodactylus williamsi
155,Sphaerodactylus,Sphaerodactylus zygaena
156,Mabuya,Spondylurus culebrae
157,Mabuya,Spondylurus fulgidus
158,Mabuya,Spondylurus haitiae
159,Mabuya,Spondylurus lineolatus
160,Mabuya,Spondylurus monae
161,Mabuya,Spondylurus powelli
162,Mabuya,Spondylurus turksae
163,Tarentola,Tarentola albertschwartzi
164,Tarentola,Tarentola crombiei
165,Tropidophis,Tropidophis bucculentus
166,Tropidophis,Tropidophis celiae
167,Tropidophis,Tropidophis fuscus
168,Tropidophis,Tropidophis galacelidus
169,Tropidophis,Tropidophis hardyi
170,Tropidophis,Tropidophis hendersoni
171,Tropidophis,Tropidophis jamaicensis
172,Tropidophis,Tropidophis maculatus
173,Tropidophis,Tropidophis morenoi
174,Tropidophis,Tropidophis nigriventris
175,Tropidophis,Tropidophis pilsbryi
176,Tropidophis,Tropidophis semicinctus
177,Tropidophis,Tropidophis spiritus
178,Tropidophis,Tropidophis stejnegeri
179,Tropidophis,Tropidophis stullae
180,Tropidophis,Tropidophis xantogaster
181,Typhlops,Typhlops cf. silus
182,Typhlops,Typhlops geotomus
183,Typhlops,Typhlops golyathi
184,Typhlops,Typhlops gonavensis
185,Typhlops,Typhlops guadeloupensis
186,Typhlops,Typhlops oxyrhinus
187,Typhlops,Typhlops pachyrhinus
188,Typhlops,Typhlops perimychus
189,Typhlops,Typhlops proancylops
190,Typhlops,Typhlops richardii
191,Typhlops,Typhlops satelles
192,Typhlops,Typhlops sp.
193,Typhlops,Typhlops syleptor
194,Typhlops,Typhlops tetrathyreus